"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
538004077,"2016-02-29 15:53:13 GMT",14.45466,-17.97564,359.1,3.8,13,0,9473004,"OCEAN RIG OLYMPIA","V7VB3",99,193,35,20,22,8.5,"RABAT","03-03 01:00"
265704000,"2016-02-29 15:53:03 GMT",58.18832,11.41422,296.2,9.3,296,0,0,"GG 690 VINGASAND","SGND",30,20,14,4,4,3,"","00-00 24:60"
219605000,"2016-02-29 15:44:55 GMT",35.49636,140.02446,265.5,0,305,5,9692155,"NORD SWIFT","OWPE2",89,147,35,9,23,11.9,"KR YOS","02-27 14:30"
205492090,"2016-02-29 15:53:15 GMT",51.8983,4.48302,0,0,511,0,0,"OGGY","OT4920",79,44,6,4,3,0,"ROTTERDAM","12-11 06:00"
663105000,"2016-02-29 15:51:57 GMT",14.67722,-17.42667,294.1,0,286,1,8116178,"DIOGUE","6WKS",70,62,10,3,8,2.9,"DAKAR","02-26 06:00"
660004100,"2016-02-29 15:37:33 GMT",-20.93281,55.31332,153.5,0,511,15,9395850,"VB BOUGAINVILLE","FNUW",52,0,0,0,0,4.3,"PORT REUNION","04-06 06:00"
244710692,"2016-02-29 15:53:16 GMT",51.82437,4.73584,0,0,511,0,0,"EVOLUTIE","PI 6360",0,60,10,3,4,0.3,"A","02-19 00:00"
244730751,"2016-02-29 15:50:14 GMT",51.75888,5.85333,95.9,8,511,0,0,"NOMADE","PI3823",79,69,12,4,5,0,"NIJMEGEN","00-00 00:00"
412454230,"2016-02-29 15:52:24 GMT",24.61237,118.72146,24.7,5.9,511,8,0,"BAO AN CHENG 29","BVFN2",70,75,20,7,7,5.4,"QUANZHOU","03-01 02:00"
636014210,"2016-02-29 15:52:50 GMT",31.59283,121.44833,293.3,0,293,5,9400100,"MEHUIN","A8SG8",71,212,94,24,16,7,"CNSHA","02-22 13:06"
226308000,"2016-02-29 15:52:24 GMT",49.57567,-0.28,294.9,0.1,42,1,9269207,"GDFSUEZ GLOBAL ENERG","FMCK",84,170,50,0,0,9,"LE HAVRE OPL","01-23 08:00"
256462000,"2016-02-29 15:53:10 GMT",51.31408,1.60219,174,9.3,179,0,9460851,"SIKINOS","9HA2865",81,79,11,9,7,5,"DUNKERQUE","02-29 19:00"
244740925,"2016-02-29 15:52:23 GMT",53.17614,6.68949,179.3,0.1,511,5,0,"IBIS V","PG 9253",33,50,7,4,5,0,"","00-00 24:60"
244690750,"2016-02-29 15:51:47 GMT",51.86007,4.65165,326.8,9.3,511,0,0,"LEENDERT","PH2843",90,40,10,4,3,2.5,"GOUDA","02-01 00:00"
413696870,"2016-02-29 15:50:49 GMT",38.97936,117.74046,266.8,0,511,1,9657272,"XIANG RUN 66","BVBL3",52,15,58,4,13,5.6,"TIAN JIN","02-26 22:30"
